Notional_Amount_Local_Currency,Trade_Vendor_ID_Original,Issue_Currency,Fitch_Short_Term_Rating_Date,Broker_Commission_Amount_Local_Currency,Contract_Size,ICB_Supersector_Description,GICS_Sub_Industry_Description,GICS_Industry_Group_Code,Lag_Days,Vanguard_ID_VID,VICS_L4_Name,Original_Cost_Base_Currency,Trade_Reason,Amortization_Value_Local_Currency,Cash_Transaction_Purpose_code,Vanguard_Transaction_Code,Bloomberg_Industry_Sector_Code,Foreign_Tax__Base_Currency,Barclays_L1_Description,Security_Main_Type,Barclays_L2_Description,Barclays_L4_Description,Corporate_Action_Type,Settlement_Date,Barclays_L3_Description,State_Code,Advisor_ID,Market_Identification_Code_MIC,Amortization_Value_Base_Currency,Final_Maturity,Executing_Broker_Code,Contra_Currency,Cancelled_Indicator,GICS_Industry_Code,Par_Amount,Russell_Subsector_Description,Position_OpenClose_Indicator,Field_144A_Flag,CRD_Alloc_ID,Fitch_Short_Term_Rating_Code,Accrued_Interest_Base_Currency,Issue_Price,Parent_Contract_ID_VID,Primary_Asset_ID,Russell_Industry_Description,Order_Reference_ID,Interest_Prepaid_Gross_Settlement,Broker_Commission_Type_Code,Cash_Transaction_Purpose_Description,Clearing_House,Coupon_Rate_Type,Dated_Date,Escrowed_to_Maturity_Date,Next_Coupon_Date,Security_Short_Description,Prerefunded_Price,Corporate_Action_Factor,Bloomberg_Industry_Subgroup_Code,Commission_Rate,Ticker,Bloomberg_Industry_Group_Code,Fund_ID,Transaction_Interval_Batch_Type,Tax_Status,Original_Cost_Local_Currency,GICS_Industry_Description,Exchange_Rate_Settlement_to_Base,GainLoss_Local_Currency,CRD_Sec_ID,Sleeve_ID,Bloomberg_Industry_Subgroup_Description,Account_Type,Income_Accrual_Settlement_Currency,Corporate_Action_Type_Code,VICS_L2_Code,External_Transaction_ID,Principal_Base_Currency,Collateral_Units,Additional_Transaction_Fee_Type_2,Additional_Transaction_Fee_Type_1,Port_ID,Additional_Transaction_Fee_Type_4,FX_Purchased_Currency,Additional_Transaction_Fee_Type_3,Additional_Transaction_Fee_Type_6,SP_Short_Term_Rating,Additional_Transaction_Fee_Type_5,OCC_Options_Clearing_Corporation_ID,Russell_Subsector_Code,Price_Base_Currency,Corporate_Action_Market_Value_Local_Currency,Next_Call_Date,Percentage_Foreign_Tax,First_Coupon_Date,CINS,ICB_Supersector_Code,Security_End_Date,Investment_Type,Underlying_ID,SP_Long_Term_Rating,PutCall_Flag,Net_Settle_Amount__Base_Currency,Strategy_Code,Bloomberg_Country_of_Risk,CUSIP,Clearing_Broker_Code,CRIMS_CUSIP,Vanguard_Issuer_ID_VEI,Corporate_Action_Other_Side_Security,ICB_Subsector_Description,Russell_Industry_Code,Previous_External_ID,GICS_Sector_Description,VICS_L1_Code,Moody_Long_Term_Rating,Base_Currency,Pay_Currency_Code,Net_Settle_Amount_Settlement_Currency,PFIC_Indicator,Russell_Sector_Code,Russell_Sector_Description,Next_Rate_Change_Date,Transaction_Coupon_Rate,Foreign_Tax_Income_Currency,NAICS_Code,GainLoss_Base_Currency,Next_Call_Price,RIC_Code,Prerefunded_Type,Conversion_Ratio,Notional_Amount_Base_Currency,Long_Short_Indicator,Expiration_Date,SEDOL5,SIC_Code,Blackrock_Cusip,Blackrock_Security_Type,SEDOL3,SEDOL4,Next_Put_Date,SEDOL1,Parent_Co_ID,SEDOL2,Brokerage_Amount__Base_Currency,Corporate_Action_Subtype,Effective_Date,Corporate_Action_Sub_Type_Code,Rate_Change_Frequency,ICB_Subsector_Code,Bloomberg_Industry_Sector_Description,LoanX_ID,Option_Standard_Identifier_OPRA_ID,Bloomberg_Issuer_Industry_Code,SP_Short_Term_Rating_Date,ICB_Industry_Code,MSCI_Country_of_Risk,FIGI_ID,Universal_Swap_Identifier_USI,Country_of_Incorporation,Net_Trade_Amount__Base_Currency,Trade_Vendor_Source_Code,File_Effective_Date,Accrual_Method,Post_Reverse_Date_Time,SP_Long_Term_Rating_Date,Additional_Transaction_Fee_Amount_4,Additional_Transaction_Fee_Amount_3,Ultimate_Parent_Co_ID,Additional_Transaction_Fee_Amount_2,Blackrock_Security_Group,Additional_Transaction_Fee_Amount_1,Bloomberg_Issuer_Industry_Description,DTC_CUSIP,VICS_L3_Name,Coupon_Rate,Barclays_L4_Classification_Code,Corporate_Action_Market_Value_Base_Currency,Contract_Type,FTSE_Country_of_Risk,FX_Sold_Amount_Base_Currency,ICB_Industry_Description,Additional_Transaction_Fee_Amount_6,Additional_Transaction_Fee_Amount_5,Prerefunded_Date,Leg_Type_Code,Barclays_Level_3_Classification_Code,Issue_Date,Principal_Or_Agent_Code,Accrued_Interest_Local_Currency,Account_Name,VICS_L1_Name,Moody_Short_Term_Rating,FX_Purchased_Amount_Base_Currency,Trade_Date,Receive_Currency_Code,ICB_Sector_Code,Exchange_Code,Primary_Asset_ID_Type,Muni_Type,Bond_Payment_Frequency,Field_42_CP_Indicator,Maturity_Date,Coupon_Currency,Settlement_Currency,Percentage_Foreign_Tax_Reclaimable,Trade_Currency,Bloomberg_ISO_Country,Original_Face_Value,Barclays_Level_1_Classification_Code,Bloomberg_Security_Type,ICB_Sector_Description,Fitch_Long_Term_Rating_Code,Trade_Vendor_Source_Name,VICS_L3_Code,Net_Trade_Amount_Trade_Currency,GICS_Sub_Industry_Code,GICS_Industry_Group_Description,Exchange_Rate_Trade_to_Settlement,Transaction_Type_Description_Code,Trade_Block_ID,Moody_Short_Term_Rating_Date,Barclays_Level_2_Classification_Code,Cancel_Status,Dividend_Currency,Price,Exchange_Rate_Trade_to_Base,Illiquid_Security,Bloomberg_Industry_Group_Description,FX_Sold_Currency,Shares_Outstanding,Principal_Local_Currency,Vanguard_Cash_Type,FX_Purchased_Amount,Transaction_Type_Description,Issuer_Name,Fitch_Long_Term_Rating_Date,FX_Sold_Amount,Bloomberg_Security_Type_2,Moody_Long_Term_Rating_Date,Yield_at_Cost,Primary_Trading_Currency,Counterparty,Strike_Price,Accrued_Interest_Days,VICS_L2_Name,VICS_L4_Code,NX_Security_Type,Quantity,ISIN,Transaction_DateTime_Stamp,LEI,Cancel_Date,Bloomberg_Deal_ID,GICS_Sector_Code,Security_Long_Description
-236125.0,,USD,,,50.0,,,,,V1031983301,,,,,MARGIN,,,,,DE,,,,2022-07-11,,,AAKT,XCME,,,,,,,,,,,,,,,,V1031983301,,,,,,,,,,,S&P500 EMINI FUT  Sep22,,,,,ESU2,,9996,EOD,,,,1.0,,,,,A,,,,85071929_2,,,,,AAKT,,,,,,,,,1.0,0.0,,,,,,,FT,V1031983301,,,-236125.0,,,,,,VEI0005366,,,,,,,,USD,USD,-236125.0,,,,,,,,,,,,,-236125.0,L,2022-09-16,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-236125.0,SMARTCO,,,,,,,VEI0005366,,,,,,,,,0.0,,,,,,,,,,2021-06-07,,,U.S. Growth Fund - QEG,,,,2022-07-11,USD,,XCME,VID,,,N/A,,,USD,,USD,,,,Physical index future.,,,SmartCo,,-236125.0,,,,MARGIN2,,,,,,1.0,1.0,,,,,,,,Margin Variation (Margin),CME E-Mini Standard & Poor's 500 Index Future,,,,,,USD,,,,,,DE.IND,-4722.5,,2022-07-11,,,,,S&P500 EMINI FUT  Sep22
-2125.0,,USD,,,50000.0,,,,,V1029249401,,,,,MARGIN,,,,,DE,,,,2022-07-11,,,ABER,IFUS,,,,,,,,,,,,,,,,V1029249401,,,,,,,,,,,COTTON NO.2 FUTR  Oct22,,,,,CTV2,,A131,EOD,,,,1.0,,,SL0051,,SL,,,,85071881_2,,,,,SL0051,,,,,,,,,1.0,0.0,,,,,,,FT,V1029249401,,,-2125.0,,,,,,VEI0022603,,,,,,,,USD,USD,-2125.0,,,,,,,,,,,,,-2125.0,L,2022-10-07,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-2125.0,SMARTCO,,,,,,,VEI0022603,,,,,,,,,0.0,,,,,,,,,,2019-11-01,,,ASF Commodity Cayman,,,,2022-07-11,USD,,IFUS,VID,,,N/A,,,USD,,USD,,,,Physical commodity future.,,,SmartCo,,-2125.0,,,,MARGIN2,,,,,,1.0,1.0,,,,,,,,Margin Variation (Margin),NYBOT CTN Number 2 Cotton Future,,,,,,USD,,,,,,DE.COMM,-0.0425,,2022-07-11,,,13524109,,COTTON NO.2 FUTR  Oct22
-1173770.68,,CAD,,,,,,,,,,,FX Hedge Orders,,,,,,,CT,,,,2022-08-15,,,ABGQ,,,,TD_FX,USD,,,,,,,,,,,,2430888,,20220711091456UIDX_000002,,,,,,,,,CAD/USD FWD 20220815,,,,,CAD,,A213,EOD,,,,1.0,,,,,A,,,,85080016_2,,,,,ABGQ,,,,,,,,,1.30304,0.0,,,,,,,FWD,,,,-1173770.68,HEDG,,,,,VEI0011336,,,,,,,,CAD,CAD,-1173770.68,,,,,1.303,,,,,,,,-1173770.68,S,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-1173770.68,CRD,,,,,,,,,,,,,,,,0.0,,,-1173770.68,,,,,,,,,,AV-Global Min Vol,,,,2022-07-11,CAD,,XOTC,NX_CONTRACT_ID,,,,2022-08-15,,CAD,,CAD,,,,,,,CRD,,-1173770.68,,,,FXFWD-BUY,20220711091456UIDX,,,,,1.30304,1.0,,,CAD,,,,,Forex - Open Forward,,,-1173770.68,,,,CAD,,,,,,CT.FOREX,-1173770.68,,2022-07-11,,,,,CAD/USD FWD 20220815
0.0,,USD,,,,,,,,,,,USPO Cash W/O,,MARGIN,,,,,,,,,2022-07-11,,,AAIP,,,,,,,,,,,,,,,,,MARGINUSD,,,,,,,,,,,Synthetic Cash - MARGIN US Dollar,,,,,,,A035,EOD,,,,1.0,,,,,A,,,,85086727_2,,,,,AAIP,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,-0.78,,,,,,,,,,,,,,USD,USD,-0.78,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-0.78,FFS,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AV-US Multifactor Fund,,,,2022-07-11,USD,,,NXCASHID,,,,,USD,USD,,USD,,,,,,,FFS,,-0.78,,,,MGN_CASHWITH,,,,,USD,1.0,1.0,,,,,,,,Margin Cash Withdrawal,,,,,,,USD,,,,,,RF.CUR,-1.0,,2022-07-11,,,,,Synthetic Cash - MARGIN US Dollar
0.0,,USD,,,,,,,,,,,,,,,,,,,,,,2022-07-14,,,AACU,,,,,,,,,,,,,,,,,CASHUSD,,,,,,,,,,,US Dollar,,,,,USD,,9804,EOD,,,,1.0,,,,,A,,,,85076204_2,,,,,AACU,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,-278104.07,,,,,,,,,,,,,,USD,USD,-278104.07,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-278104.07,ICAP,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,Windsor II-Cash,,,,2022-07-11,USD,,,CASH,,,,,USD,USD,,USD,US,,,,,,ICAP,,-278104.07,,,,REDEMPTION,,,,,USD,1.0,1.0,,,,,,,,Redemption,,,,,,,USD,,,,,,CRNY,-278104.07,,2022-07-11,,,,,US Dollar
0.0,,USD,,,,,,,,,,,,,,,,,,,,,,2022-07-12,,,AAFH,,,,,,,,,,,,,,,,,CASHUSD,,,,,,,,,,,US Dollar,,,,,USD,,A064,EOD,,,,1.0,,,,,A,,,,85076044_2,,,,,AAFH,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,50991.14,,,,,,,,,,,,,,USD,USD,50991.14,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,50991.14,ICAP,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AV-Strategic Equity Fund,,,,2022-07-11,USD,,,CASH,,,,,USD,USD,,USD,US,,,,,,ICAP,,50991.14,,,,SUBSCRIPT,,,,,USD,1.0,1.0,,,,,,,,Subscription,,,,,,,USD,,,,,,CRNY,50991.14,,2022-07-11,,,,,US Dollar
-253699.0,,USD,,,50.0,,,,,V1031984201,,,,,MARGIN,,,,,DE,,,,2022-07-11,,,AAFH,XCME,,,,,,,,,,,,,,,,V1031984201,,,,,,,,,,,E-Mini Russ 2000  Sep22,,,,,RTYU2,,A064,EOD,,,,1.0,,,,,A,,,,85071787_2,,,,,AAFH,,,,,,,,,1.0,0.0,,,,,,,FT,V1031984201,,,-253699.0,,,,,,VEI0030493,,,,,,,,USD,USD,-253699.0,,,,,,,,,,,,,-253699.0,L,2022-09-16,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-253699.0,SMARTCO,,,,,,,VEI0030493,,,,,,,,,0.0,,,,,,,,,,2021-06-18,,,AV-Strategic Equity Fund,,,,2022-07-11,USD,,XCME,VID,,,N/A,,,USD,,USD,,,,Physical index future.,,,SmartCo,,-253699.0,,,,MARGIN2,,,,,,1.0,1.0,,,,,,,,Margin Variation (Margin),CME E-mini Russell 2000 Index Futures,,,,,,USD,,,,,,DE.IND,-5073.98,,2022-07-11,,,,,E-Mini Russ 2000  Sep22
0.0,,USD,,,,,,,,,,,,,EXPENSE_USD,,,,,,,,,2022-07-11,,,AAIJ,,,,,,,,,,,,,,,,,CASHUSD,,,,,,,,,,,US Dollar,,,,,USD,,A028,EOD,,,,1.0,,,,,A,,,,85073073_2,,,,,AAIJ,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,-2498.25,,,,,,,,,,,,,,USD,USD,-2498.25,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-2498.25,ABOR_GEN_LEDGER,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,AV-US Value Factor ETF,,,,2022-07-11,USD,,,CASH,,,,,USD,USD,,USD,US,,,,,,ABOR Gen Ledger,,-2498.25,,,,EXP_ACCRL,,,,,USD,1.0,1.0,,,,,,,,Expense Accrl (+),,,,,,,USD,,,,,,CRNY,-2498.25,,2022-07-11,,,,,US Dollar
-2002.5,,USD,,,5.0,,,,,V1031412501,,,,,MARGIN,,,,,DE,,,,2022-07-11,,,AAIJ,XCME,,,,,,,,,,,,,,,,V1031412501,,,,,,,,,,,SP500 MIC EMIN FUTSep22,,,,,HWAU2,,A028,EOD,,,,1.0,,,,,A,,,,85071897_2,,,,,AAIJ,,,,,,,,,1.0,0.0,,,,,,,FT,V1031412501,,,-2002.5,,,,,,VEI0056022,,,,,,,,USD,USD,-2002.5,,,,,,,,,,,,,-2002.5,L,2022-09-16,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,US,-2002.5,SMARTCO,,,,,,,VEI0056022,,,,,,,,,0.0,,,,,,,,,,2021-06-18,,,AV-US Value Factor ETF,,,,2022-07-11,USD,,XCME,VID,,,N/A,,,USD,,USD,,,,Physical index future.,,,SmartCo,,-2002.5,,,,MARGIN2,,,,,,1.0,1.0,,,,,,,,Margin Variation (Margin),Micro E-mini S&P 500 futures,,,,,,USD,,,,,,DE.IND,-400.5,,2022-07-11,,,132231995,,SP500 MIC EMIN FUTSep22
0.0,,USD,,,,,,,,,,,,,EXPENSE_USD,,,,,,,,,2022-07-11,,,ABER,,,,,,,,,,,,,,,,,CASHUSD,,,,,,,,,,,US Dollar,,,,,USD,,A131,EOD,,,,1.0,,,,,A,,,,85073125_1,,,,,ABER,,,,,,,,,1.0,0.0,,,,,,,CASH,,,,-175.75,,,,,,,,,,,,,,USD,USD,-175.75,,,,,,,,,,,,,0.0,L,,,,,,,,,,,,,,2022-07-11,,,,,,,,,,,,,,-175.75,ABOR_GEN_LEDGER,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ASF Commodity Basis,,,,2022-07-11,USD,,,CASH,,,,,USD,USD,,USD,US,,,,,,ABOR Gen Ledger,,-175.75,,,,EXP_ACCRL,,,,,USD,1.0,1.0,,,,,,,,Expense Accrl (+),,,,,,,USD,,,,,,CRNY,-175.75,,2022-07-11,,,,,US Dollar
